,YEAR,BA_HGLW_JOBS,BB_LGLW_JOBS,BC_HGHW_JOBS,BD_LGHW_JOBS,QA_HGLW_JOBS,QB_LGLW_JOBS,QC_HGHW_JOBS,QD_LGHW_JOBS,Toll_A_peak,Toll_B_peak,Toll_C_peak,Toll_D_peak,February_sv,March_sv,April_sv,May_sv,June_sv,July_sv,August_sv,September_sv,October_sv,November_sv,December_sv,BrooklynBridge_cv,ManhattanBridge_cv,WilliamsburgBridge_cv,HenryHudsonBridge_cv,HughL.CareyTunnel_cv,QueensMidtownTunnel_cv,RFKBridge-BronxPlaza_cv,RFKBridge-ManhattanPlaza_cv,MTA_CorssingType
0,2020,822042,822042,822042,822042,680050,680050,680050,680050,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,837730,835690,838551,836837,691339,689986,693186,691431,6.2118,7.2471,8.2824,9.3177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022,853472,849575,855398,851607,702909,700348,706407,703089,6.304977,7.3558065,8.406636,9.4574655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2023,869608,863743,872522,866665,714604,710887,719613,714521,6.399551655,7.466143598,8.53273554,9.599327483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2024,885944,877942,889474,881935,726409,721320,733115,726140,6.49554493,7.578135751,8.660726573,9.743317395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025,902448,892573,907136,897644,738214,732294,747053,738053,6.592978104,7.691807788,8.790637472,9.889467156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2026,919053,907491,925318,913741,750546,743019,760792,749861,6.691872775,7.807184905,8.922497034,10.03780916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2027,935890,922422,943519,929235,763206,754028,774979,762302,6.792250867,7.924292678,9.056334489,10.1883763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2028,953101,937567,962149,945349,775724,765387,789373,775036,6.89413463,8.043157068,9.192179507,10.34120194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2029,970582,953018,980972,961857,788816,776862,804028,787634,6.997546649,8.163804424,9.330062199,10.49631997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
