,time,BrooklynBridge,EdKochQueensboroughBridge,HenryHudsonBridge,HughL.CareyTunnel,ManhattanBridge,QueensMidtownTunnel,RFKBridge-BronxPlaza,RFKBridge-ManhattanPlaza,WilliamsburgBridge
0,2009-01-01,125021.0,180162.0,57508.0,45161.0,71936.0,73574.0,72498.0,78267.0,108194.0
1,2009-02-01,125021.0,180162.0,61694.0,47426.0,71936.0,77573.0,76424.0,82097.0,108194.0
2,2009-03-01,125021.0,180162.0,61295.0,47500.0,71936.0,77964.0,77481.0,83818.0,108194.0
3,2009-04-01,125021.0,180162.0,65888.0,48286.0,71936.0,81317.0,80272.0,89638.0,108194.0
4,2009-05-01,125021.0,180162.0,68574.0,49363.0,71936.0,83352.0,82859.0,93717.0,108194.0
5,2009-06-01,125021.0,180162.0,66755.0,49918.0,71936.0,83574.0,82905.0,92945.0,108194.0
6,2009-07-01,125021.0,180162.0,64409.0,46964.0,71936.0,81943.0,88656.0,90775.0,108194.0
7,2009-08-01,125021.0,180162.0,63895.0,46130.0,71936.0,80824.0,85894.0,89402.0,108194.0
8,2009-09-01,125021.0,180162.0,66982.0,47083.0,71936.0,83226.0,82594.0,92376.0,108194.0
9,2009-10-01,125021.0,180162.0,67744.0,48563.0,71936.0,84170.0,80234.0,91410.0,108194.0
10,2009-11-01,125021.0,180162.0,65648.0,46067.0,71936.0,80542.0,78628.0,88564.0,108194.0
11,2009-12-01,125021.0,180162.0,65217.0,47221.0,71936.0,82174.0,77798.0,88900.0,108194.0
12,2010-01-01,123640.0,177695.0,60955.0,44807.0,74777.0,75452.0,74040.0,81575.0,111189.0
13,2010-02-01,123640.0,177695.0,53933.0,41605.0,74777.0,70901.0,68578.0,74537.0,111189.0
14,2010-03-01,123640.0,177695.0,64456.0,47284.0,74777.0,82286.0,79260.0,88727.0,111189.0
15,2010-04-01,123640.0,177695.0,68302.0,48052.0,74777.0,83253.0,81926.0,92425.0,111189.0
16,2010-05-01,123640.0,177695.0,69530.0,48817.0,74777.0,85485.0,83407.0,95086.0,111189.0
17,2010-06-01,123640.0,177695.0,69994.0,50219.0,74777.0,86940.0,85181.0,96072.0,111189.0
18,2010-07-01,123640.0,177695.0,67529.0,48645.0,74777.0,85110.0,85573.0,93313.0,111189.0
19,2010-08-01,123640.0,177695.0,65939.0,48226.0,74777.0,85022.0,85891.0,92017.0,111189.0
20,2010-09-01,123640.0,177695.0,67745.0,49101.0,74777.0,85004.0,83507.0,92529.0,111189.0
21,2010-10-01,123640.0,177695.0,69061.0,51433.0,74777.0,87232.0,82744.0,92250.0,111189.0
22,2010-11-01,123640.0,177695.0,67633.0,49418.0,74777.0,84278.0,80591.0,90143.0,111189.0
23,2010-12-01,123640.0,177695.0,63202.0,46673.0,74777.0,80895.0,73761.0,85236.0,111189.0
24,2011-01-01,105820.0,183401.0,50626.0,42072.0,85392.0,70565.0,65777.0,73307.0,103590.0
25,2011-02-01,105820.0,183401.0,60657.0,47130.0,85392.0,78635.0,71610.0,80556.0,103590.0
26,2011-03-01,105820.0,183401.0,62954.0,48255.0,85392.0,83033.0,75886.0,85693.0,103590.0
27,2011-04-01,105820.0,183401.0,66006.0,49018.0,85392.0,84479.0,78565.0,88869.0,103590.0
28,2011-05-01,105820.0,183401.0,67809.0,51396.0,85392.0,86861.0,78912.0,93085.0,103590.0
29,2011-06-01,105820.0,183401.0,67170.0,52546.0,85392.0,87084.0,81223.0,94780.0,103590.0
30,2011-07-01,105820.0,183401.0,66565.0,51185.0,85392.0,85209.0,81439.0,91392.0,103590.0
31,2011-08-01,105820.0,183401.0,63300.0,50922.0,85392.0,84153.0,80521.0,88483.0,103590.0
32,2011-09-01,105820.0,183401.0,64427.0,50896.0,85392.0,85506.0,80613.0,90336.0,103590.0
33,2011-10-01,105820.0,183401.0,64530.0,49525.0,85392.0,86111.0,76618.0,86930.0,103590.0
34,2011-11-01,105820.0,183401.0,64304.0,50620.0,85392.0,84253.0,76460.0,85415.0,103590.0
35,2011-12-01,105820.0,183401.0,64229.0,50075.0,85392.0,83484.0,75195.0,83951.0,103590.0
36,2012-01-01,100288.0,178188.0,59775.0,46833.0,89087.0,77684.0,70817.0,78203.0,112696.0
37,2012-02-01,100288.0,178188.0,61455.0,48644.0,89087.0,81131.0,72903.0,80256.0,112696.0
38,2012-03-01,100288.0,178188.0,63036.0,50481.0,89087.0,84763.0,75491.0,84888.0,112696.0
39,2012-04-01,100288.0,178188.0,65412.0,50209.0,89087.0,85260.0,77441.0,87389.0,112696.0
40,2012-05-01,100288.0,178188.0,67599.0,52727.0,89087.0,87367.0,78104.0,92289.0,112696.0
41,2012-06-01,100288.0,178188.0,68007.0,53482.0,89087.0,87275.0,80160.0,94348.0,112696.0
42,2012-07-01,100288.0,178188.0,63284.0,51228.0,89087.0,83516.0,77938.0,88022.0,112696.0
43,2012-08-01,100288.0,178188.0,61589.0,52106.0,89087.0,85077.0,79698.0,90071.0,112696.0
44,2012-09-01,100288.0,178188.0,65464.0,52478.0,89087.0,86616.0,77193.0,90400.0,112696.0
45,2012-10-01,100288.0,178188.0,59037.0,44608.0,89087.0,74958.0,72375.0,82572.0,112696.0
46,2012-11-01,100288.0,178188.0,56059.0,20581.0,89087.0,55644.0,75761.0,84251.0,112696.0
47,2012-12-01,100288.0,178188.0,62868.0,46348.0,89087.0,81544.0,75194.0,87962.0,112696.0
48,2013-01-01,102542.0,171556.0,58076.0,45038.0,87375.0,75731.0,70940.0,79830.0,115674.0
49,2013-02-01,102542.0,171556.0,58678.0,47920.0,87375.0,78314.0,72587.0,82100.0,115674.0
50,2013-03-01,102542.0,171556.0,58591.0,46605.0,87375.0,80930.0,73666.0,83796.0,115674.0
51,2013-04-01,102542.0,171556.0,63264.0,47848.0,87375.0,81107.0,75974.0,87627.0,115674.0
52,2013-05-01,102542.0,171556.0,66001.0,49331.0,87375.0,84717.0,78560.0,92763.0,115674.0
53,2013-06-01,102542.0,171556.0,64492.0,50350.0,87375.0,84475.0,80276.0,91815.0,115674.0
54,2013-07-01,102542.0,171556.0,62096.0,47554.0,87375.0,80703.0,79496.0,87672.0,115674.0
55,2013-08-01,102542.0,171556.0,62039.0,49053.0,87375.0,83771.0,81519.0,90621.0,115674.0
